Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,P,P,F (20/20),P,F (20/20),F
1,P,P,F (20/20),P,F (20/20),F
2,P,P,F (20/20),P,F (20/20),F
3,P,P,F (20/20),P,F (20/20),F
4,P,P,F (20/20),P,F (20/20),F
5,P,P,F (20/20),P,F (20/20),F
6,P,P,F (20/20),P,F (20/20),F
7,P,P,F (20/20),P,F (20/20),F
8,P,P,F (20/20),P,F (20/20),F
9,P,P,F (20/20),P,F (20/20),F
10,P,P,F (20/20),P,F (20/20),F
11,P,P,F (20/20),P,F (20/20),F
12,P,P,F (20/20),P,F (20/20),F
13,P,P,F (20/20),P,F (20/20),F
14,P,P,F (20/20),P,F (20/20),F
15,P,P,F (20/20),P,F (20/20),F
16,P,P,F (20/20),P,F (20/20),F
17,P,P,F (20/20),P,F (20/20),F
18,P,P,F (20/20),P,F (20/20),F
19,P,P,F (20/20),P,F (20/20),F
20,P,P,F (20/20),P,F (20/20),F
21,P,P,F (20/20),P,F (20/20),F
22,P,P,P,P,P,P
23,P,P,F (20/20),P,F (20/20),F
24,P,P,F (20/20),P,F (20/20),F
25,P,P,F (20/20),P,F (20/20),F
26,P,P,F (20/20),P,F (20/20),F
27,P,P,F (20/20),P,F (20/20),F
28,P,P,P,P,P,P
29,P,P,F (20/20),P,F (20/20),F
30,P,P,P,P,P,P
31,P,P,F (20/20),P,F (20/20),F
32,P,P,F (20/20),P,F (20/20),F
33,P,P,F (20/20),P,F (20/20),F
34,P,P,F (20/20),P,F (20/20),F
35,P,P,F (20/20),P,F (20/20),F
36,P,P,F (20/20),P,F (20/20),F
37,P,P,F (20/20),P,F (20/20),F
38,P,P,F (20/20),P,F (20/20),F
39,P,P,F (20/20),P,F (20/20),F
40,P,P,F (20/20),P,F (20/20),F
41,P,P,F (20/20),P,F (20/20),F
42,P,P,F (20/20),P,F (20/20),F
43,P,P,F (20/20),P,F (20/20),F
44,P,P,F (20/20),P,F (20/20),F
45,P,P,F (20/20),P,F (20/20),F
46,P,P,P,P,P,P
47,P,P,F (20/20),P,F (20/20),F
48,P,P,P,P,P,P
49,P,P,F (20/20),P,F (20/20),F
50,P,P,P,P,P,P
51,P,P,F (20/20),P,F (20/20),F
52,P,P,P,P,P,P
53,P,P,F (20/20),P,F (20/20),F
54,P,P,P,P,P,P
55,P,P,P,P,P,P
56,P,P,F (20/20),P,F (20/20),F
57,P,P,F (20/20),P,F (20/20),F
58,P,P,P,P,P,P
59,P,P,F (20/20),P,F (20/20),F
60,P,P,P,P,P,P
61,P,P,F (20/20),P,F (20/20),F
62,P,P,F (20/20),P,F (20/20),F
63,P,P,P,P,P,P
64,P,P,F (20/20),P,F (20/20),F
65,P,P,F (20/20),P,F (20/20),F
66,P,P,F (20/20),P,F (20/20),F
67,P,P,F (20/20),P,F (20/20),F
68,P,P,F (20/20),P,F (20/20),F
69,P,P,F (20/20),P,F (20/20),F
70,P,P,F (20/20),P,F (20/20),F
71,P,P,P,P,P,P
72,P,P,F (20/20),P,F (20/20),F
73,P,P,F (20/20),P,F (20/20),F
74,P,P,F (20/20),P,F (20/20),F
75,P,P,P,P,P,P
76,P,P,P,P,P,P
77,P,P,F (20/20),P,F (20/20),F
78,P,P,F (20/20),P,F (20/20),F
79,P,P,P,P,P,P
80,P,P,F (20/20),P,F (20/20),F
81,P,P,P,P,P,P
82,P,P,F (20/20),P,F (20/20),F
83,P,P,P,P,P,P
84,P,P,P,P,P,P
85,P,P,F (20/20),P,F (20/20),F
86,P,P,F (20/20),P,F (20/20),F
87,P,P,P,P,P,P
88,P,P,P,P,P,P
89,P,P,F (20/20),P,F (20/20),F
90,P,P,F (20/20),P,F (20/20),F
91,P,P,F (20/20),P,F (20/20),F
92,P,P,F (20/20),P,F (20/20),F
93,P,P,F (20/20),P,F (20/20),F
94,P,P,F (20/20),P,F (20/20),F
95,P,P,F (20/20),P,F (20/20),F
