Test File Name,No saturation Result,Round Robin Saturation Result,Chunking Saturation Result,All Passed
0,F (21/21),F (21/21),F (21/21),F
1,F (21/21),F (21/21),F (21/21),F
2,F (21/21),F (21/21),F (21/21),F
3,P,P,P,P
4,P,P,P,P
5,F (21/21),F (21/21),F (21/21),F
6,F (21/21),F (21/21),F (21/21),F
7,P,P,P,P
8,F (21/21),F (21/21),F (21/21),F
9,F (21/21),F (21/21),F (21/21),F
10,F (21/21),F (21/21),F (21/21),F
11,P,P,P,P
12,F (21/21),F (21/21),F (21/21),F
13,P,P,P,P
14,F (21/21),F (21/21),F (21/21),F
15,P,P,P,P
16,P,P,P,P
17,F (21/21),F (21/21),F (21/21),F
18,P,P,P,P
19,F (21/21),F (21/21),F (21/21),F
20,P,P,P,P
Total failures:,252,252,252,12
