Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,F (20/20),F (20/20),F (20/20),P,F (20/20),F
1,F (20/20),F (20/20),F (20/20),P,F (20/20),F
2,F (20/20),F (20/20),F (20/20),P,F (20/20),F
3,P,P,P,P,P,P
4,P,P,P,P,P,P
5,F (20/20),F (20/20),F (20/20),P,F (20/20),F
6,F (20/20),F (20/20),F (20/20),P,F (20/20),F
7,P,F (19/20),P,P,P,F
8,F (20/20),F (20/20),F (20/20),P,F (20/20),F
9,F (20/20),F (20/20),F (20/20),P,F (20/20),F
10,F (20/20),F (20/20),F (20/20),P,F (20/20),F
11,P,P,P,P,P,P
12,F (20/20),F (20/20),F (20/20),P,F (20/20),F
13,P,P,P,P,P,P
14,F (20/20),F (20/20),F (20/20),P,F (20/20),F
15,P,P,P,P,P,P
16,P,F (16/20),P,P,P,F
17,F (20/20),F (20/20),F (20/20),P,F (20/20),F
18,P,P,P,P,P,P
19,F (20/20),F (20/20),F (20/20),P,F (20/20),F
20,P,P,P,P,P,P
Total failures:,12,14,12,0,12,14
