Test File Name,No saturation (same subgroup),Round Robin Saturation,Chunking Saturation,"No saturation (diff. subgroup, 256 threads per workgroup)","No saturation (same subgroup, 4 threads per workgroup)",All Passed
0,P,P,F (20/20),P,F (20/20),F
1,P,P,F (20/20),P,F (20/20),F
2,P,P,F (20/20),P,F (20/20),F
3,P,P,P,P,P,P
4,P,P,P,P,P,P
5,P,P,F (20/20),P,F (20/20),F
6,P,P,F (20/20),P,F (20/20),F
7,P,P,P,P,P,P
8,P,P,F (20/20),P,F (20/20),F
9,P,P,F (20/20),P,F (20/20),F
10,P,P,F (20/20),P,F (20/20),F
11,P,P,P,P,P,P
12,P,P,F (20/20),P,F (20/20),F
13,P,P,P,P,P,P
14,P,P,F (20/20),P,F (20/20),F
15,P,P,P,P,P,P
16,P,P,P,P,P,P
17,P,P,F (20/20),P,F (20/20),F
18,P,P,P,P,P,P
19,P,P,F (20/20),P,F (20/20),F
20,P,P,P,P,P,P
Total failures:,0,0,12,0,12,12
